Date,Open,High,Low,Close,Adj Close,Volume
2017-02-15,989.2,998.8,968.8,981.8,44.181,3629743
2017-02-16,991.0,1013.9,990.05,1012.1,45.5445,6407929
2017-02-17,1013.75,1013.75,992.7,1000.1,45.0045,2425604
2017-02-20,996.5,1031.0,993.5,1010.25,45.46125,2325331
2017-02-21,1022.1,1024.5,1000.05,1013.6,45.612,3806998
2017-02-22,1015.0,1015.0,986.4,990.15,44.556749999999994,3303919
2017-02-23,998.9,1020.0,993.35,1008.85,45.39825,4771328
2017-02-27,1007.3,1023.0,1006.95,1012.4,45.558,2664348
2017-02-28,1011.85,1022.7,1009.25,1012.4,45.558,2970066
2017-03-01,1012.0,1027.0,1010.1,1025.15,46.131750000000004,2141224
2017-03-02,1024.4,1028.0,1016.5,1023.3,46.0485,1474249
2017-03-03,1010.25,1034.3,1000.4,1031.2,46.404,2700806
2017-03-06,1020.05,1035.95,1019.7,1033.9,46.5255,2643193
2017-03-07,1022.0,1025.8,1014.7,1019.8,45.891,2322248
2017-03-08,1016.9,1016.9,1004.45,1007.8,45.351,3089588
2017-03-09,1007.8,1013.0,999.0,1011.55,45.519749999999995,1740315
2017-03-10,1015.0,1027.65,1013.4,1021.85,45.98325,2275162
2017-03-14,1022.8,1041.9,1022.8,1034.8,46.565999999999995,3939198
2017-03-15,1034.9,1034.9,1007.5,1011.95,45.53775,3186989
2017-03-16,1013.3,1031.7,1013.3,1028.85,46.298249999999996,3351478
2017-03-17,1035.4,1042.9,1019.25,1040.3,46.8135,4753923
2017-03-20,1026.55,1026.55,1015.1,1021.5,45.9675,2213694
2017-03-21,1020.9,1034.95,1018.8,1032.85,46.478249999999996,2434792
2017-03-22,1022.45,1039.95,1020.4,1027.7,46.2465,1995426
2017-03-23,1028.25,1043.0,1026.6,1040.45,46.82025,2250831
2017-03-24,1038.0,1044.0,1027.7,1031.4,46.413000000000004,2441948
2017-03-27,1027.2,1041.85,1024.5,1028.85,46.298249999999996,3842412
2017-03-28,1031.5,1039.0,1030.05,1035.15,46.58175,2398398
2017-03-29,1034.3,1041.5,1025.85,1031.85,46.433249999999994,3490593
2017-03-30,1034.0,1035.9,1020.25,1025.5,46.1475,6078590
2017-03-31,1023.25,1029.3,1008.0,1022.25,46.00125,7076927
2017-04-03,1032.15,1032.45,1006.1,1008.8,45.395999999999994,2157800
2017-04-05,1005.0,1005.4,991.0,995.95,44.817750000000004,3699169
2017-04-06,998.15,1005.8,992.0,999.6,44.982,2689504
2017-04-07,1000.9,1000.9,979.0,981.55,44.16974999999999,3202254
2017-04-10,984.9,989.5,950.1,953.4,42.903,4764236
2017-04-11,956.05,971.7,956.05,967.15,43.52175,4327733
2017-04-12,970.0,976.9,960.35,968.85,43.59825,3348376
2017-04-13,970.0,990.0,926.65,931.4,41.913,15486594
2017-04-17,930.0,932.1,923.5,924.9,41.6205,3606717
2017-04-18,924.75,934.0,919.1,922.65,41.51925,2323759
2017-04-19,923.0,930.0,912.65,919.2,41.364,5035851
2017-04-20,921.5,929.7,918.55,927.3,41.7285,2274500
2017-04-21,934.8,934.8,921.1,923.7,41.5665,1788733
2017-04-24,917.5,928.5,913.0,926.55,41.69475,2778333
2017-04-25,925.9,933.0,920.55,929.35,41.82075,2368530
2017-04-26,929.95,935.55,910.2,914.25,41.14125,4542248
2017-04-27,916.0,929.0,916.0,925.25,41.63625,3898604
2017-04-28,926.85,927.4,915.6,918.95,41.35275,2514851
2017-05-02,924.0,926.4,915.1,922.6,41.517,1615563
2017-05-03,926.5,939.1,917.65,934.3,42.043499999999995,2329724
2017-05-04,937.0,939.65,928.9,937.65,42.19425,2639903
2017-05-05,936.0,937.35,920.0,931.5,41.9175,2216394
2017-05-08,938.0,948.55,932.0,945.5,42.5475,2353549
2017-05-09,950.6,951.95,942.1,946.65,42.59925,2824686
2017-05-10,947.15,950.0,937.15,943.65,42.46425,1682151
2017-05-11,946.85,949.85,937.55,944.1,42.4845,1614741
2017-05-12,953.0,966.0,951.45,964.25,43.39125,5489998
2017-05-15,963.5,963.5,949.1,951.55,42.81975,3648582
2017-05-16,953.1,960.15,946.95,955.0,42.975,3065084
2017-05-17,951.6,958.45,943.85,952.8,42.876,1457754
2017-05-18,943.0,973.9,942.85,961.75,43.278749999999995,4028924
2017-05-19,961.5,962.7,947.85,957.95,43.10775,2128698
2017-05-22,958.4,966.9,956.55,961.45,43.26525,2751526
2017-05-23,964.65,967.0,954.1,957.3,43.0785,2019991
2017-05-24,960.0,965.5,949.6,954.8,42.965999999999994,2818143
2017-05-25,961.0,986.6,961.0,983.3,44.24849999999999,5219257
2017-05-26,987.0,1000.0,980.6,995.7,44.8065,2494002
2017-05-29,990.9,996.7,975.7,985.15,44.33175,3154217
2017-05-30,982.0,1000.0,978.65,996.2,44.829,1858455
2017-05-31,993.55,993.55,974.85,977.05,43.96724999999999,3881950
2017-06-01,969.3,979.7,958.55,971.4,43.712999999999994,2754303
2017-06-02,973.4,975.45,964.2,969.45,43.62525,1958983
2017-06-05,970.0,972.0,957.05,958.75,43.14375,2731349
2017-06-06,965.0,987.5,964.4,979.35,44.07075,3504343
2017-06-07,985.0,988.9,945.0,961.3,43.2585,6227523
2017-06-08,962.95,962.95,948.15,956.45,43.04025,3097676
2017-06-09,938.55,950.95,923.0,948.6,42.687,7378831
2017-06-12,943.35,965.2,940.1,963.85,43.37325,4295838
2017-06-13,953.5,962.95,951.6,957.8,43.101,2468897
2017-06-14,960.0,961.9,951.2,958.6,43.137,3719055
2017-06-15,959.65,967.95,949.6,952.1,42.8445,2764031
2017-06-16,949.1,953.85,936.0,940.25,42.31125,5474225
2017-06-19,939.95,940.25,928.0,929.85,41.84325,3427930
2017-06-20,935.0,946.9,934.05,943.55,42.45975,2592198
2017-06-21,945.0,949.0,936.05,943.35,42.45075,1867932
2017-06-22,947.7,968.7,935.1,940.15,42.306749999999994,4732621
2017-06-23,945.0,949.15,938.0,943.25,42.44625,3201509
2017-06-27,945.0,948.0,923.75,927.05,41.71725,3452330
2017-06-28,932.8,933.0,921.0,924.7,41.6115,2952612
2017-06-29,930.2,947.95,926.6,930.2,41.859,7957020
2017-06-30,930.8,938.0,929.0,935.55,42.09974999999999,2108350
2017-07-03,941.1,955.0,934.6,951.9,42.835499999999996,2544462
2017-07-04,953.85,970.0,949.4,962.15,43.296749999999996,2583863
2017-07-05,959.0,959.0,945.4,950.9,42.790499999999994,2113114
2017-07-06,945.0,957.0,944.2,947.0,42.614999999999995,1914860
2017-07-07,943.85,945.45,933.05,935.4,42.092999999999996,2888443
2017-07-10,945.0,1028.9,937.3,957.05,43.067249999999994,847546
2017-07-11,956.65,989.5,956.65,975.35,43.89075,5769854
2017-07-12,974.95,981.5,968.75,972.35,43.75575,3137988
2017-07-13,977.25,983.45,964.1,977.05,43.96724999999999,2585196
2017-07-14,999.45,1006.85,966.05,972.05,43.74225,11239090
2017-07-17,975.0,992.0,974.0,984.05,44.28225,3849125
2017-07-18,986.05,1004.8,981.1,985.6,44.352,4130090
2017-07-19,981.45,988.65,969.1,979.85,44.09325,2945139
2017-07-20,979.3,979.85,966.95,969.45,43.62525,3404870
2017-07-21,973.0,982.55,971.4,980.1,44.1045,2990377
2017-07-24,983.5,994.0,982.6,990.55,44.574749999999995,3064588
2017-07-25,990.0,999.0,986.2,993.85,44.72325,3572807
2017-07-26,998.1,999.0,990.4,994.05,44.73224999999999,3435012
2017-07-27,996.0,1004.0,966.8,971.05,43.69725,6338426
2017-07-28,976.0,1003.0,962.3,997.35,44.88075,5549214
2017-07-31,991.9,1021.7,986.75,1011.2,45.504,9579124
2017-08-01,1011.0,1017.0,998.35,1005.55,45.24975,3844699
2017-08-02,1006.0,1012.75,987.2,993.35,44.70075,2128792
2017-08-03,991.0,998.75,980.25,984.0,44.28,2320174
2017-08-04,988.0,989.0,976.05,983.75,44.26875,2674509
2017-08-07,983.5,983.75,965.7,968.25,43.57125,3036872
2017-08-08,968.5,970.25,955.05,963.85,43.37325,3002324
2017-08-09,967.65,973.9,964.55,969.35,43.62075,1961205
2017-08-10,969.9,987.5,969.35,981.25,44.15625,4570342
2017-08-11,976.0,997.0,969.6,987.7,44.4465,3272078
2017-08-14,988.0,989.2,977.15,981.45,44.16525,1908235
2017-08-16,982.0,986.1,969.0,975.2,43.884,3089040
2017-08-17,1005.0,1029.25,998.05,1020.85,45.93825,12892130
2017-08-18,1017.9,1017.9,884.2,923.25,41.54625,82202480
2017-08-21,924.0,924.0,870.0,873.4,39.303,45203588
2017-08-22,895.2,897.05,860.0,875.4,39.393,24621299
2017-08-23,880.0,903.7,873.9,892.8,40.175999999999995,30642095
2017-08-24,910.0,918.25,902.35,912.15,41.046749999999996,21190262
2017-08-28,943.95,953.95,938.0,941.0,42.345,20356054
2017-08-29,941.45,942.0,925.55,927.45,41.73525,6684696
2017-08-30,937.2,939.0,924.1,926.65,41.69925,8074832
2017-08-31,928.8,928.95,912.9,914.95,41.17275,7511226
2017-09-01,915.95,925.9,910.0,919.95,41.39775,4216961
2017-09-04,921.0,921.1,893.5,900.2,40.509,5088554
2017-09-05,902.0,905.0,897.25,901.9,40.585499999999996,4891696
2017-09-06,900.0,900.3,890.0,895.6,40.302,3867955
2017-09-07,900.0,900.5,892.35,895.75,40.308749999999996,3120596
2017-09-08,899.0,899.0,882.1,884.3,39.793499999999995,4302271
2017-09-11,890.4,891.8,873.65,878.7,39.5415,6893821
2017-09-12,882.55,887.75,878.8,884.05,39.78225,8620677
2017-09-13,885.5,887.6,881.0,883.75,39.76875,5739114
2017-09-14,884.5,896.6,881.6,892.4,40.157999999999994,6849003
2017-09-15,892.3,913.25,892.2,908.25,40.871249999999996,6729730
2017-09-18,910.0,917.75,906.3,909.1,40.9095,4237930
2017-09-19,908.0,916.0,903.5,912.25,41.051249999999996,3016665
2017-09-20,917.0,917.0,907.45,912.7,41.0715,2883915
2017-09-21,915.0,915.25,908.15,909.55,40.92975,4102076
2017-09-22,908.15,910.25,888.0,898.3,40.4235,8802044
2017-09-25,901.0,901.95,889.1,895.35,40.29075,4544350
2017-09-26,897.0,908.4,894.3,905.9,40.765499999999996,3683239
2017-09-27,906.1,907.9,895.1,899.8,40.491,3000069
2017-09-28,896.1,903.9,894.3,896.0,40.32,8768633
2017-09-29,898.0,902.4,895.0,899.9,40.4955,2852916
2017-10-03,910.1,912.0,901.6,903.55,40.659749999999995,2473761
2017-10-04,903.0,905.4,897.15,899.6,40.482,2495746
2017-10-05,900.0,904.95,899.0,903.05,40.637249999999995,4305650
2017-10-06,904.0,922.0,903.95,920.15,41.406749999999995,4287154
