"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","29-Sep-2015","       1105.55","       1102.00","       1133.40","       1097.50","       1117.00","       1121.85","       1119.84","    4349685","          4870966739.40","     101045","    2368692","         54.46"
"INFY","EQ","30-Sep-2015","       1121.85","       1134.40","       1168.95","       1125.95","       1157.00","       1161.95","       1151.23","    4747846","          5465842643.15","     111323","    3106382","         65.43"
"INFY","EQ","01-Oct-2015","       1161.95","       1169.90","       1197.75","       1160.00","       1173.05","       1173.05","       1179.45","    5432197","          6406992205.25","     141361","    3243441","         59.71"
"INFY","EQ","05-Oct-2015","       1173.05","       1173.00","       1189.35","       1162.00","       1181.10","       1181.75","       1176.75","    3440880","          4049050301.95","     124032","    2048583","         59.54"
"INFY","EQ","06-Oct-2015","       1181.75","       1187.05","       1192.55","       1148.10","       1157.00","       1154.60","       1160.82","    4355940","          5056464091.30","     159201","    2862268","         65.71"
"INFY","EQ","07-Oct-2015","       1154.60","       1156.00","       1168.75","       1128.45","       1139.00","       1133.20","       1147.22","    4591244","          5267146098.15","     140151","    3368903","         73.38"
"INFY","EQ","08-Oct-2015","       1133.20","       1136.40","       1149.60","       1126.05","       1132.70","       1132.15","       1136.18","    4540437","          5158746112.85","     166680","    3316675","         73.05"
"INFY","EQ","09-Oct-2015","       1132.15","       1136.00","       1172.90","       1136.00","       1170.90","       1167.40","       1154.34","    5891069","          6800309813.50","     172120","    3660285","         62.13"
"INFY","EQ","12-Oct-2015","       1167.40","       1199.00","       1219.80","       1109.00","       1122.90","       1122.90","       1145.31","   15202485","         17411498956.45","     347437","    5258181","         34.59"
"INFY","EQ","13-Oct-2015","       1122.90","       1107.45","       1111.00","       1085.20","       1098.10","       1099.40","       1097.14","    7663431","          8407859525.85","     286593","    4019557","         52.45"
"INFY","EQ","14-Oct-2015","       1099.40","       1091.45","       1115.55","       1087.20","       1096.00","       1097.60","       1104.20","    4432755","          4894629063.95","     158291","    2478570","         55.91"
"INFY","EQ","15-Oct-2015","       1097.60","       1099.90","       1104.35","       1089.10","       1096.90","       1097.35","       1096.26","    4127833","          4525182630.10","     184169","    2599954","         62.99"
"INFY","EQ","16-Oct-2015","       1097.35","       1099.00","       1101.40","       1090.00","       1093.00","       1094.90","       1094.85","    3209496","          3513919100.05","      74364","    1874068","         58.39"
"INFY","EQ","19-Oct-2015","       1094.90","       1102.00","       1116.00","       1100.50","       1114.70","       1111.95","       1109.22","    3673747","          4074985828.50","     128555","    2537719","         69.08"
"INFY","EQ","20-Oct-2015","       1111.95","       1113.00","       1130.00","       1110.60","       1126.30","       1125.95","       1121.86","    4394155","          4929630466.40","     101555","    3233998","         73.60"
"INFY","EQ","21-Oct-2015","       1125.95","       1125.00","       1146.85","       1125.00","       1137.50","       1138.40","       1137.86","    3639049","          4140724664.50","      89639","    2309832","         63.47"
"INFY","EQ","23-Oct-2015","       1138.40","       1141.80","       1153.00","       1125.10","       1149.00","       1149.90","       1141.35","    3016681","          3443080807.65","     117698","    1806303","         59.88"
"INFY","EQ","26-Oct-2015","       1149.90","       1154.00","       1158.50","       1143.15","       1150.00","       1152.15","       1150.88","    1597971","          1839079237.50","      82222","     801160","         50.14"
